Name,URL,Check Type,Finding
NIDDK Central Repository,https://repository.niddk.nih.gov/home,Health Endpoints,Possible health endpoint: /health (200 OK) — Healthy
NIMH Data Archive,https://nda.nih.gov/,Health Endpoints,"Possible health endpoint: /status (200 OK) — <!DOCTYPE html>
<html lang=""en"" data-beasties-container>
  <head>
    <meta char"
NIMH Data Archive,https://nda.nih.gov/,Health Endpoints,"Possible health endpoint: /health (200 OK) — <!DOCTYPE html>
<html lang=""en"" data-beasties-container>
  <head>
    <meta char"
NIMH Data Archive,https://nda.nih.gov/,Health Endpoints,"Possible health endpoint: /healthcheck (200 OK) — <!DOCTYPE html>
<html lang=""en"" data-beasties-container>
  <head>
    <meta char"
NIMH Data Archive,https://nda.nih.gov/,Health Endpoints,"Possible health endpoint: /_health (200 OK) — <!DOCTYPE html>
<html lang=""en"" data-beasties-container>
  <head>
    <meta char"
NIMH Data Archive,https://nda.nih.gov/,Health Endpoints,"Possible health endpoint: /heartbeat (200 OK) — <!DOCTYPE html>
<html lang=""en"" data-beasties-container>
  <head>
    <meta char"
NIMH Data Archive,https://nda.nih.gov/,Health Endpoints,"Possible health endpoint: /ping (200 OK) — <!DOCTYPE html>
<html lang=""en"" data-beasties-container>
  <head>
    <meta char"
NIMH Data Archive,https://nda.nih.gov/,Health Endpoints,"Possible health endpoint: /up (200 OK) — <!DOCTYPE html>
<html lang=""en"" data-beasties-container>
  <head>
    <meta char"
Common Fund Data Ecosystem Portal,https://app.nih-cfde.org/,Health Endpoints,"Possible health endpoint: /status (200 OK) — <!DOCTYPE html><html lang=""en""><head><meta charSet=""utf-8""/><meta name=""viewport"
Common Fund Data Ecosystem Portal,https://app.nih-cfde.org/,Health Endpoints,"Possible health endpoint: /health (200 OK) — <!DOCTYPE html><html lang=""en""><head><meta charSet=""utf-8""/><meta name=""viewport"
Common Fund Data Ecosystem Portal,https://app.nih-cfde.org/,Health Endpoints,"Possible health endpoint: /healthcheck (200 OK) — <!DOCTYPE html><html lang=""en""><head><meta charSet=""utf-8""/><meta name=""viewport"
